dataset,seed,quartile,delta_mae,pt_rate,neutral_rate,nt_rate,n
digital,42,Q2,0.008339964783530591,0.46291718170580964,0.009888751545117428,0.5271940667490729,1618
digital,42,Q3,0.008912628347223445,0.46072974644403214,0.014842300556586271,0.5244279529993816,1617
digital,42,Q4,-0.032369536360350476,0.5049443757725587,0.0203955500618047,0.4746600741656366,1618
digital,42,Q1,0.00281541987019505,0.1668726823238566,0.634734239802225,0.1983930778739184,1618
digital,53,Q1,0.0006457810348869137,0.17985166872682323,0.6378244746600742,0.1823238566131026,1618
digital,53,Q2,0.014061668010518351,0.4394313967861557,0.009888751545117428,0.5506798516687268,1618
digital,53,Q3,0.02016077413187398,0.44712430426716143,0.0074211502782931356,0.5454545454545454,1617
digital,53,Q4,-0.0159223996222535,0.4857849196538937,0.022249690976514216,0.4919653893695921,1618
digital,71,Q3,-0.007480466594353982,0.4965986394557823,0.02411873840445269,0.479282622139765,1617
digital,71,Q2,0.0020131154909122204,0.48763906056860323,0.009270704573547589,0.5030902348578492,1618
digital,71,Q4,-0.05975816482666544,0.5253399258343634,0.018541409147095178,0.4561186650185414,1618
digital,71,Q1,-0.0006872278503493445,0.207663782447466,0.5828182941903585,0.20951792336217553,1618
digital,123,Q1,-0.0004316605213103929,0.20951792336217553,0.580964153275649,0.20951792336217553,1618
digital,123,Q3,0.0027181124642961163,0.46629560915275203,0.030303030303030304,0.5034013605442177,1617
digital,123,Q2,0.0029414881145114215,0.4820766378244747,0.012978986402966625,0.5049443757725587,1618
digital,123,Q4,-0.031931352998476534,0.5098887515451175,0.022249690976514216,0.46786155747836833,1618
digital,2023,Q2,0.01581584058969071,0.43510506798516685,0.006798516687268232,0.5580964153275649,1618
digital,2023,Q3,0.037593127255389616,0.3945578231292517,0.02906617192331478,0.5763760049474336,1617
digital,2023,Q1,0.003644562548553688,0.1983930778739184,0.5784919653893696,0.223114956736712,1618
digital,2023,Q4,-0.015284148960089965,0.48084054388133496,0.030902348578491966,0.48825710754017304,1618
digital,3407,Q2,0.01502518239805223,0.4369592088998764,0.013597033374536464,0.5494437577255872,1618
digital,3407,Q1,0.001837107395506913,0.18355995055624227,0.6118665018541409,0.20457354758961682,1618
digital,3407,Q3,0.0077839123295941415,0.4613481756338899,0.019789734075448363,0.5188620902906618,1617
digital,3407,Q4,-0.01903317045369754,0.5012360939431397,0.014833127317676144,0.48393077873918416,1618
